run_results (1)
restuarant_name,restuarant_type,restuarant_no_of_review,restuarant_telephone,restuarant_address,restuarant_opening_hour,restuarant_rating
The Cafe,Chinese,196 reviews,+852 2369 1111,"20 Nathan Road, Tsim Sha Tsui | 2/F, Sheraton Hong Kong Hotel & Towers, Hong Kong, China",6:30 AM - 11:30 PM,4.5
Monogamous,Chinese,290 reviews,+852 2523 2872,"59 Caine Road, Soho, Hong Kong, China",,4.5
The Market,Seafood,808 reviews,+852 3400 1388,"Level 2, Hotel Icon, 17 Scien Museum Road, Tsim Sha Tsui East | Tsim Sha Tsui East, Kowloon,, Hong Kong, China",6:30 PM - 10:00 PM,4.5
"Nicholini's, Conrad Hong Kong",Italian,237 reviews,+852 2822 8801,,6:30 PM - 10:30 PM,4.5
Ho Lee Fook,Taiwanese,887 reviews,+852 2810 0860,"G/F, No.1-5 Elgin Street, SoHo, Hong Kong, China",6:00 PM - 11:00 PM,4.5
Celestial Court Chinese Restaurant,Chinese,200 reviews,+852 2369 1111,"20 Nathan Road, Kowloon | 2/F, Sheraton Hong Kong Hotel & Towers, Hong Kong, China",6:00 PM - 11:00 PM,4.5
The Lounge & Bar,International,717 reviews,+852 2263 2270,"1 Austin Road West | International Commerce Centre,, Hong Kong, China",,4.5
Lung King Heen,Chinese,891 reviews,+852 3196 8888,,6:30 PM - 10:00 PM,4.5
Ayuthaiya,Asian,171 reviews,+852 3105 5055,"35 Hollywood Road, Hong Kong, China",,4
Chachawan,Asian,382 reviews,+852 2549 0020,"206 Hollywood Road, Hong Kong 00852, China",,4.5
Caprice (Central),French,781 reviews,+852 3196 8860,"6F, Four Seasons Hotel, Central | Four Seasons Hotel Hong Kong, Hong Kong, China",6:30 PM - 10:30 PM,4.5
Cafe 103,Seafood,408 reviews,+852 2263 2270,"1 Austin Road West | International Commerce Centre,, Hong Kong 852, China",6:30 PM - 10:00 PM,4.5
The Chairman,Chinese,368 reviews,+852 2555 2202,"No.18 Kau U Fong, Central, Hong Kong, China",6:00 PM - 11:00 PM,4.5
JW Cafe,Chinese,266 reviews,+852 2810 8366,"5/F, JW Marriott Hotel Hong Kong, Pacific Place, No.88 Queensway, Hong Kong, China",,4.5
"Aqua Roma, Aqua Tokyo & Aqua Spirit",Italian,"2,881 reviews",+852 3427 2288,"29/F & 30/F, 1 Peking Road, Tsim Sha Tsui, Hong Kong, China",,4.5
Le Souk,Moroccan,201 reviews,+852 2522 2128,"4 Staunton St, Hong Kong, China",,4.5
Mistral - Passionately Italian,Italian,201 reviews,+852 2731 2870,"InterContinental Grand Stanford Hong Kong | B2 Level, 70 Mody Road, Tsimshatsui East, Kowloon, Hong Kong, China",7:00 PM - 11:00 PM,4.5
Mirage Bar & Restaurant,European,186 reviews,+852 2802 8888,"1/F, Renaissance Harbour View Hotel Hong Kong, 1 Harbour Road, Hong Kong, China",,4.5
Above and beyond,Chinese,727 reviews,+852 3400 1318,"17 Science Museum Road, Tsim Sha Tsui East, Kowloon,, Hong Kong, China",6:00 PM - 10:30 PM,4.5
"Pierre - Mandarin Oriental, Hong Kong",French,353 reviews,+852 2825 4001,"5 Connaught Road Central | Central, Hong Kong 000000, China",6:30 PM - 10:00 PM,4.5
Giando Italian Restaurant & Bar,Italian,358 reviews,+852 2511 8912,"Shop 1, G/F Tower 1 Starcrest, 9 Star Street, Wanchai | Near pacific place 3, Hong Kong NA, China",6:00 PM - 10:30 PM,4.5
Lobby Lounge (InterContinental Hong Kong),Healthy,571 reviews,+852 2313 2323,"No.18 Salisbury Road, Tsim Sha Tsui | InterContinental Hong Kong, Hong Kong, China",,4.5
Motorino,Italian,406 reviews,+852 2801 6881,"G/F, 14 Shelley Street, Central | 15 Ship Street, Wan Chai, Hong Kong, China",,4
La Creperie (Sheung Wan),French,285 reviews,+852 2679 4666,"G/F, 69 Jervois Street, Sheung Wan, Hong Kong, China",11:30 AM - 11:00 PM,4.5
Pure Veggie House,Chinese,161 reviews,+852 2525 0552,"3/F, Coda Plaza, 51 Garden Road, Central, Hong Kong, China",11:00 AM - 10:30 PM,4.5
Alto Bar and Grill,Steakhouse,218 reviews,+852 2603 7181,"18 Tang Lung Street | 31/F, V Point, Hong Kong, China",6:00 AM - 11:00 PM,4.5
22 Ships,European,546 reviews,+852 2555 0722,"No.22 Ship Street, Wan Chai, Hong Kong, China",6:00 PM - 11:00 PM,4.5
One Harbour Road (Grand Hyatt Hong Kong),Chinese,322 reviews,+852 2854 7722,,6:30 PM - 10:30 PM,4.5
Cafe Renaissance,Asian,270 reviews,+852 2802 8888,"Mezzanine Floor, No.1 Harbour Road, Wan Chai, Hong Kong, China",,4.5
cafe TOO,Asian,366 reviews,+852 2820 8571,"Level 7, Island Shangri-La Hotel, Supreme Court Road, Hong Kong, China",6:30 AM - 11:00 PM,4
Hutong,Chinese,"1,740 reviews",+852 3428 8342,"1 Peking Road, Tsim Sha Tsui | 28/f, Hong Kong, China",,4
Tokyolima,Japanese,190 reviews,+852 2811 1152,"G/F, 18 Lyndhurst Terrace, Central, Hong Kong, China",,4.5
Grassroots Pantry,Healthy,206 reviews,+852 2873 3353,"108 Hollywood Road | Centrestage, Sheung Wan, Hong Kong, China",5:30 PM - 11:00 PM,4
Le 188 Restaurant & Lounge,European,338 reviews,+852 2121 2693,"41/F, Harbour Grand Hong Kong, MTR Fortress Hill Station, Exit A, 23 Oil Street, North Point, Hong Kong, China",12:00 PM - 10:30 PM,4.5
Din Tai Fung (Yee Wo Branch),Chinese,"1,967 reviews",+852 3160 8998,"No.68 Yee Wo Street, Causeway Bay, Hong Kong, China",11:30 AM - 10:00 PM,4.5
CE LA VI Restaurant,Japanese,320 reviews,+852 3700 2300,"25/F California Tower, No.32 D'Aguilar Street | Central District, Hong Kong, China",6:00 PM - 11:00 PM,4.5
Mana! Fast Slow Food,Cafe,302 reviews,+852 2851 1611,"G/F 92 Wellington Street Central, Hong Kong, China",10:00 AM - 10:00 PM,4
Islamic Centre Canteen,Chinese,228 reviews,+852 2834 8211,,10:00 AM - 9:00 PM,4.5
NOBU (InterContinental Hong Kong),Japanese,978 reviews,+852 2313 2323,"18 Salisbury Road | InterContinental Hong Kong, Hong Kong, China",6:00 PM - 11:00 PM,4.5
Dimpal Fusion Restaurant and Bar,Indian,109 reviews,+852 2314 2022,"283 Temple Street, Jordan, Hong Kong, China",,4.5
Mama San Restaurant & Bar,Asian,326 reviews,+852 2881 8901,"1/F, No.46 Wyndham Street, Central, Hong Kong 00000, China",6:00 PM - 11:00 PM,4.5
Sky Lounge,International,279 reviews,+852 2369 1111,"20 Nathan Road | 20 Nathan Road, Kowloon, Hong Kong, China",,4
"Captain's Bar - Mandarin Oriental, Hong Kong",,176 reviews,+852 2825 4006,"5 Connaught Road Central | Central, Hong Kong, China",,4.5
Cucina (Marco Polo Hongkong Hotel),Italian,299 reviews,+852 2113 0808,"Level 6, Marco Polo Hongkong Hotel, Harbour City, 3 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong, China",,4
Restaurant de Chine,Chinese,81 reviews,+852 2595 0808,"G/F, 13 Stanley Street, Central, Hong Kong, China",6:00 PM - 10:00 PM,4.5
Man Ho Chinese Restaurant,Chinese,176 reviews,+852 2810 8366,"Pacific Place, 88 Queensway | Level 3 of JW Marriott Hotel Hong Kong, Hong Kong, China",6:00 PM - 11:00 PM,4.5
GREEN,European,246 reviews,+852 3400 1388,"17 Science Museum Road | Hotel ICON, Hong Kong, China",,4.5
Chi Lin Vegetarian,Chinese,232 reviews,+852 3658 9388,"Long Men Lou, Nan Lian Garden, Hong Kong, China",12:00 PM - 9:00 PM,4
"Cafe, Hyatt Regency Hong Kong, Tsim Sha Tsui",Asian,157 reviews,+852 3721 7700,"18 Hanoi Road, Tsim Sha Tsui, Kowloon, Hong Kong, China",,4.5
Mercato Hong Kong,Italian,217 reviews,+852 3706 8567,"8/F, California Tower, No.32 D'Aguilar Street, Central | No.32 D'Aguilar Street, Central, Hong Kong, China",6:00 PM - 11:00 PM,4.5
Saravanaa Bhavan,Indian,151 reviews,+852 2736 1127,"4/F, Ashley Centre, 23-25 Ashley Road, Tsim Sha Tsui, Hong Kong, China",6:00 PM - 10:30 PM,4.5
Chom Chom,Asian,359 reviews,+852 2810 0850,"58 Peel Street, SoHo, Hong Kong, China",5:00 PM - 10:45 PM,4.5
Cuisine Cuisine at the Mira Hong Kong,Chinese,295 reviews,+852 2315 5222,"118 Nathan Road | Tsimshatsui, Hong Kong, China",,4
Di King Heen,Chinese,74 reviews,+852 2622 6161,"3/F, Royal Plaza Hotel, 193 Prince Edward Road West, Mong Kok, Hong Kong 852, China",,4.5
Kai Kai Dessert (Jordan),Chinese,242 reviews,+852 2384 3862,"G/F, 121-123 Parkes Street, Jordan, Hong Kong, China",,4.5
Felix,European,985 reviews,+852 2696 6778,"The Peninsula Hotel, Salisbury Road, | Tsim Sha Tsui, Hong Kong, China",,4
Beef & Liberty Stanley Burgers,American,117 reviews,+852 2563 2798,"Shop G04, G/F, Stanley Plaza, No.23 Carmel Road, Stanley, Hong Kong, China",11:30 AM - 10:30 PM,4.5
The Optimist,Spanish,371 reviews,+852 2433 3324,"G-2/F, 239 Hennessy Road, Wan Chai, Hong Kong, China",,4.5
Sing Yin Cantonese Dining,Chinese,256 reviews,+852 3717 2848,"1/F, W Hong Kong, No 1 Austin Road West, Hong Kong, China",6:00 PM - 10:30 PM,4.5
R & R Bagels,American,133 reviews,+852 2178 5168,"G/F, No.28 Li Yuen Street West, Central, Hong Kong, China",,4.5
Okra Kitchen,Japanese,85 reviews,+852 2806 1038,"110 Queen's Road West | G/f, Hong Kong, China",6:00 PM - 11:30 PM,4.5
Kung Wo Soy Bean Factory,Asian,198 reviews,+852 2718 0976,"67, Fuk Lo Tsun Road, Kowloon City | Closest station Sham Shui Po, Hong Kong, China",8:30 AM - 8:00 PM,4
Curry Leaf - Indian Cuisine,Indian,85 reviews,852-81000911,"No.16-18 Mau Lam Street | G/F & M/F Mau Lam Commercial Building, Hong Kong 000000, China",6:00 PM - 11:00 PM,4.5
Blue Bar at Four Seasons,Vegan Options,160 reviews,+852 3196 8830,"Four Seasons Lobby Level, 8 Finance Street, Hong Kong, China",,4.5
Zuma,Japanese,967 reviews,+852 3657 6388,"15 Queen's Road | Landmark Atrium - Level 5 & 6, Hong Kong, China",,4
Mr & Mrs Fox,Steakhouse,217 reviews,+852 2697 8500,"23 Tong Chong Street, Hong Kong, China",11:00 AM - 11:00 PM,4
Bouchon Bistro Francais,French,184 reviews,+852 2525 9300,"49 Elgin Street, Central, Hong Kong, China",6:00 PM - 10:30 PM,4.5
Gaylord Indian Restaurant,Indian,472 reviews,+852 2376 1001,"23-25 Ashley Road, Tsimshatsui, Hong Kong, China",6:00 PM - 10:30 PM,4
Cafe Kool,International,324 reviews,+852 2733 8753,"M/F, Kowloon Shangri-La Hotel, No.64 Mody Road, Tsim Sha Tsui | 64 Mody Road, Tsimshatsui East, Kowloon, Hong Kong, China",6:30 AM - 10:00 PM,4
Pizza Express (Ocean Terminal),Italian,349 reviews,+852 2376 1182,"Shop OT G53, Ocean Terminal, Harbour City, Tsim Sha Tsui, Kowloon, Hong Kong, China",,4
Aladin Mess,Indian,126 reviews,+852 2808 0250,"2/F, 60 Russell Street, Hong Kong, China",,4
The Lobby at the Peninsula Hong Kong,European,"1,521 reviews",+852 2696 6772,"Salisbury Road, Hong Kong, China",,4
MO Bar at The Landmark Mandarin Oriental,Vegan Options,317 reviews,+852 2132 0077,"The Landmark, 15 Queen's Road Central, Hong Kong, China",,4.5
Din Tai Fung(Miramar),Chinese,333 reviews,+852 2898 2499,"Shop F, 4/F, Miramar Shopping Centre, No.132 Nathan Road, Tsim Sha Tsui, Hong Kong, China",,4.5
Cicada,Indian,129 reviews,+852 2662 3882,"47A Elgin Street, SOHO, Central, Hong Kong, China",11:00 AM - 11:00 PM,4.5
Iberico & Co. Kitchen & Bar,Mediterranean,219 reviews,+852 2752 8811,"G/F, 18 Shelley Street SoHo, Central, Hong Kong, China",,4
Spasso Italian Bar & Restaurant,Italian,673 reviews,+852 2730 8027,"G5-8, 12-17, Empire Centre, No.68 Mody Road, Tsim Sha Tsui East, Kowloon, Hong Kong, China",,4
Jashan,Indian,202 reviews,+852 3105 5300,"1F Amber Lodge, 23 Hollywood Road, Hong Kong, China",6:00 PM - 10:30 PM,4
Sole Mio,Italian,162 reviews,+852 2530 0422,"Upper Ground Floor,51 Elgin Street, Soho, Central | Look up 1st Floor from escalator, Hong Kong, China",,4.5
"The Place (Cordis, Hong Kong)",Chinese,310 reviews,+852 3552 3028,,,4
Bindaas Bar + Kitchen,Indian,189 reviews,+852 2447 9998,"33 Aberdeen Street | Central, Hong Kong, China",6:00 PM - 10:30 PM,4.5
Town,European,187 reviews,+852 2568 8708,"10/F, Cubus, No.1 Hoi Ping Rd, Causeway Bay, Hong Kong 99999, China",,4.5
Little Bao,Asian,434 reviews,+852 2194 0202,"G/F 66 Staunton St. | Central, Hong Kong, Hong Kong, China",6:00 PM - 11:00 PM,4.5
China Club,Chinese,277 reviews,+852 2521 8888,"13-14/F, Old Bank of China Building, Bank Street | Central, Hong Kong, China",,4.5
Shang Palace,Chinese,362 reviews,+852 2733 8754,"G/F, Kowloon Shangri-La Hotel, 64 Mody Road, Tsim Sha Tsui | No. 64 Mody Road, Tsimshatsui East, Kowloon, Hong Kong, China",6:30 PM - 10:30 PM,4
BRICK LANE Gallery,European,120 reviews,+852 2721 0628,"G/F, No.17-23 Minden Avenue, Tsim Sha Tsui, Hong Kong, China",,4
"Mandarin Grill + Bar at Mandarin Oriental, Hong Kong",European,657 reviews,+852 2825 4004,"5 Connaught Road Central | Central, Hong Kong 000000, China",6:30 PM - 10:00 PM,4.5
Mott 32,Chinese,"1,073 reviews",+852 2885 8688,"Basement, Standard Chartered Bank Building, No.4-4A Des Voeux Road Central, Central, Hong Kong, China",6:00 PM - 11:00 PM,4.5
Lock Cha Tea Shop,Chinese,202 reviews,+852 2801 7177,"Hong Kong Park, Admiralty, Hong Kong, China",,4.5
Disney's Hollywood Hotel - Chef Mickey,Chinese,325 reviews,+852 3510 5000,"Disney's Hollywood Hotel, Penny's Bay, Lantau, Hong Kong, China",,4
Man Mo Dim Sum,Fusion,179 reviews,+852 2644 5644,"40, Upper Lascar Row | Wah Koon Building, Sheung Wan, Hong Kong, China",12:00 PM - 11:00 PM,4.5
Spiga,Italian,139 reviews,+852 2871 0055,"LHT Tower 31 Queen's Road Central, Central, Hong Kong 00000, China",6:00 PM - 11:00 PM,4.5
"Olive, Greek & Middle Eastern",Middle Eastern,176 reviews,+852 2521 1608,"32 Elgin Street, Central, Hong Kong, China",6:00 PM - 11:00 PM,4
Pizza Express K11,Italian,188 reviews,+852 2351 3938,"Unit 403, Level 4, K11 Art Mall, 300 Huaihai Zhong Road, Hong Kong, China",,4
Ye Shanghai (Marco Polo Hong Kong Hotel),Chinese,270 reviews,+852 2376 3322,"6/F, Marco Polo Hong Kong Hotel, 3 Canton Road, Tsim Sha Tsui, Hong Kong, China",6:00 PM - 11:00 PM,4
Isola Bar & Grill,Italian,688 reviews,+852 2383 8765,"Shop 3071-3075, 3/F, IFC, 8 Finance Street, Central District | Shop 2075, Podium 2, ifc mall, Hong Kong, China",11:30 AM - 11:00 PM,4
Zaks,Pizza,139 reviews,+852 2987 6232,"shop 4, g/F | Discovery Bay Plaza, Hong Kong, China",,4
Pici Pasta Bar Wanchai,Italian,143 reviews,+852 2755 5523,"16 St.Francis Yard, Wanchai, Hong Kong, China",12:00 PM - 10:30 PM,4.5
Pizza Express Times Square,Italian,260 reviews,+852 2506 0688,"Shop 1203, 12/F, Times Square, Matheson Street, Causeway Bay | 1 Matheson Street, Causeway Bay, Hong Kong 0000, China",11:30 AM - 10:30 PM,4
BRICK LANE (Causeway Bay),British,85 reviews,+852 2736 8893,,,4.5
The Gallery,Steakhouse,100 reviews,+852 2980 2582,"G/F 26 Tong Fuk village | Lantau Island, Hong Kong, China",,4.5
Soul Food Thai,Asian,71 reviews,+852 2177 3544,"26-28 Elgin Street, SoHo, Hong Kong, China",6:00 PM - 10:45 PM,4.5
Spring Moon,Chinese,340 reviews,+852 2696 6760,"Salisbury Road, Kowloon | The Peninsula Hong Kong, Hong Kong, China",6:00 PM - 10:00 PM,4.5
"Sha Tin 18 - Hyatt Regency Hong Kong, Sha Tin",Chinese,211 reviews,+852 3723 1234,"4/F, Hyatt Regency Hong Kong,18 Chak Cheung Street, Hong Kong, China",11:30 AM - 10:30 PM,4
Osteria Ristorante Italiano at Holiday Inn Golden Mile,Italian,174 reviews,+852 2315 1010,"M floor, Holiday Inn Golden Mile, 50 Nathan Road, Tsim Sha Tsui, Hong Kong, China",6:00 PM - 10:00 PM,4
Hoi King Heen (Mody Road),Chinese,153 reviews,+852 2731 2883,"B2/F, InterContinental Grand Stanford Hong Kong, No.70 Mody Road, Tsim Sha Tsui | Grand Stanford Intercontinental Hotel, Hong Kong, China",6:00 PM - 10:30 PM,4.5
"T'ang Court - The Langham, Hong Kong",Chinese,447 reviews,+852 2132 7898,"No.8 Peking Road | Tsim Sha Tsui, Hong Kong, China",,4
Spices,Asian,133 reviews,+852 2292 2821,"G/F, 109 Repulse Bay Road | Repulse Bay, Hong Kong, China",12:00 PM - 10:00 PM,4
One Dim Sum Chinese Restaurant,Chinese,"2,399 reviews",+852 2789 2280,,,4.5
Cafe Malacca,Asian,232 reviews,+852 2213 6613,"Level 2, Hotel Jen Hong Kong, 508 Queen's Road West, Western District, Hong Kong, China",6:30 AM - 11:00 PM,4
"Cafe Causette - Mandarin Oriental, Hong Kong",Cafe,416 reviews,+852 2825 4005,"M/F, Mandarin Oriental Hong Kong, No.5 Connaught Road, Central | 5 Connaught Road Central, Hong Kong 000000, China",6:30 AM - 10:30 PM,4
Chili Club,Asian,185 reviews,+852 2527 2872,,12:00 PM - 10:30 PM,4
Loving Hut Wan Chai,Chinese,101 reviews,+852 2574 3248,"2/F, Luen Tai Building, 93-99 Wanchai Road, Hong Kong, China",11:00 AM - 9:30 PM,4.5
Thai Farmer Restaurant,Asian,130 reviews,+852 2520 6607,,,4
Potato Head Hong Kong,Asian,147 reviews,+852 2858 6066,,5:00 PM - 11:00 PM,4
The Lounge - Four Seasons Hotel Hong Kong,International,134 reviews,+852 3196 8820,"Ground Floor, 8 Finance Street, Central | Four Seasons Hotel, Hong Kong, China",,4.5
Bep Vietnamese Kitchen,Asian,265 reviews,+852 2583 0900,"L/G, 9-11 Stauton Street, Soho, Central, Hong Kong, China",6:00 PM - 11:00 PM,4
Anjappar,Indian,82 reviews,+852 3428 5757,"3-7A Prat Avenue, Tsim Sha Tsui | Shop 202, 2/F, Multifield Plaza,, Hong Kong, China",6:00 PM - 11:00 PM,4.5
LA LOCANDA by Giancarlo Perbellini,Italian,143 reviews,+852 2785 9600,"Shop402, Level 4, Ocean Center, Harbour City, 3-27 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong, China",6:00 PM - 11:00 PM,4
N1 Coffee & Co,Cafe,332 reviews,+852 3568 4726,"Shop G, No.34 Mody Road, Tsim Sha Tsui, Hong Kong, China",8:00 AM - 8:00 PM,4.5
"Garden Cafe, Conrad Hong Kong",International,135 reviews,+852 2822 8890,,6:00 PM - 10:00 PM,4
Nomad's,Asian,235 reviews,+852 2722 0733,"Shop A, G/F, 53-59 Kimberley Rd,, Hong Kong, China",,4
FINDS,European,166 reviews,+852 2522 9318,"39 Kimberley Road | Tsim Sha Tsui, Hong Kong Kowloon, China",6:30 AM - 10:30 PM,4.5
BRICK LANE (Admiralty),European,147 reviews,+852 2363 2500,"1 Tim Mei Avenue, Admiralty | Shop 404, 4/F., Citic Tower, Hong Kong, China",9:00 AM - 11:00 PM,4
Grand Cafe (Grand Hyatt Hong Kong),International,177 reviews,+852 2584 7722,,,4.5
Qi House of Sichuan,Chinese,209 reviews,+852 2527 7117,"Shop 12, 2/F, J Senses, 60 Johnston Road | Wan Chai, Hong Kong 000, China",6:00 PM - 11:00 PM,4
AL MOLO RISTORANTE ITALIANO - Michael White,Italian,509 reviews,+852 2730 7900,"Shop G63, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong, China",12:00 PM - 11:00 PM,4
Stanley Cave,Cafe,128 reviews,+852 2677 7007,"Underground, 25 Stanley Market Road | Stanley, Hong Kong, China",,4.5
Cafe Crepe,French,67 reviews,+852 2907 1888,"G/F, 15B Wellington Street, Central, Hong Kong, China",9:00 AM - 11:00 PM,4.5
Duddell's,Chinese,341 reviews,+852 2525 9191,"Levels 3 & 4, Shanghai Tang Mansion, 1 Duddell Street, Central, Hong Kong, China",,4
"Ming Court (Cordis, Hong Kong)",Chinese,573 reviews,+852 3552 3028,,6:00 PM - 10:30 PM,4
Fang Fang,Chinese,129 reviews,+852 2983 9083,"33 Wyndham Street, Lan Kwai Fong, Central | 8/F, LKF Tower,, Hong Kong Central, China",,4.5
Social Place,Chinese,283 reviews,+852 3568 9666,"2/F, L Place,139 Queens Road Central | (Close to the Centre, In Central), Hong Kong Central, China",11:30 AM - 10:00 PM,4
Tamarind Pan-Asian Restaurant & Bar,Indian,87 reviews,+852 2827 7777,"2/F, Sun Hung Kai Centre | 30 Harbour Rd, Wan Chai, Hong Kong, China",12:00 PM - 11:00 PM,4
Shanghai Lane (Central),Chinese,95 reviews,+852 2850 7788,"35-37 Gough Street, Hong Kong, China",,4.5
